x	y	Frame	x	y	Frame	x	y	Frame	x	y	Frame	x	y	Frame
1	1	1	2	2	2	3	3	3	4	4	4	5	5	5
434.726	45.798	0	20.668	172.184	0	130.118	396.972	0	255.491	0.708	403	491.332	54.623	1445
435.6	44.198	1	19.57	173.005	1	130.035	397.72	1	256.315	0.943	404	491.291	54.543	1446
435.449	43.113	2	20.443	173.774	2	129.414	398.089	2	257.197	1.21	405	491.249	54.174	1447
435.042	42.606	3	21.192	173.936	3	129.308	398.654	3	256.219	1.67	406	491.11	54.998	1448
434.495	42.802	4	22.84	174.334	4	128.165	399.734	4	256.751	1.805	407	491.11	55.623	1449
434.292	42.279	5	23.819	173.726	5	127.255	400.81	5	257.09	2.992	408	490.711	57.805	1450
434.544	42.323	6	23.806	174.802	6	126.612	400.467	6	256.229	3.232	409	490.61	58.711	1451
434.906	43.095	7	24.988	174.439	7	128.455	400.798	7	254.883	4.853	410	490.935	58.651	1452
436.233	44.63	8	24.854	176.747	8	129.12	399.774	8	254.993	4.925	411	491.21	58.106	1453
436.531	45.25	9	24.722	175.98	9	129.343	399.151	9	255.625	4.726	412	491.231	58.185	1454
436.628	45.016	10	25.888	177.161	10	129.081	400.205	10	254.384	4.862	413	491.217	57.165	1455
435.423	44.163	11	28.32	177.932	11	129.252	400.685	11	254.358	5.035	414	491.232	57.877	1456
435.551	43.192	12	30.514	177.818	12	130.482	400.581	12	252.917	5.294	415	491.318	56.837	1457
435.432	43.874	13	29.675	178.025	13	132.243	401.997	13	253.124	4.127	416	491.208	56.56	1458
436.099	44.758	14	28.203	176.82	14	132.358	402.848	14	253.462	3.545	417	491.057	57.438	1459
435.174	45.627	15	29.508	175.439	15	130.899	402.236	15	253.9	4.719	418	490.412	58.619	1460
435.214	45.967	16	29.149	175.866	16	131.459	401.791	16	253.295	4.482	419	490.137	57.354	1461
436.015	45.81	17	27.693	176.244	17	132.421	402.611	17	254.247	5.184	420	489.906	56.856	1462
437.259	46.05	18	27.874	174.149	18	132.731	402.232	18	255.634	6.113	421	489.576	57.757	1463
436.302	45.941	19	27.682	174.738	19	131.486	402.096	19	256.951	7.148	422	490.633	58.731	1464
436.809	45.954	20	26.212	175.252	20	131.385	401.576	20	257.369	7.391	423	490.979	58.48	1465
436.913	46.052	21	25.918	173.881	21	131.416	402.46	21	257.264	6.724	424	490.755	59.756	1466
436.933	45.077	22	24.083	173.032	22	130.921	403.926	22	256.502	7.348	425	490.948	59.898	1467
436.44	45.27	23	23.744	173.406	23	129.299	403.037	23	256.53	7.154	426	491.141	58.736	1468
435.3	44.938	24	24.306	174.655	24	129.019	401.963	24	256.61	6.42	427	491.216	58.227	1469
434.999	45.868	25	24.427	174.642	25	129.616	402.095	25	257.005	7.328	428	491.178	56.929	1470
435.502	45.052	26	24.348	174.457	26	130.148	402.114	26	257.549	7.302	429	491.293	56.591	1471
436.076	44.858	27	25.258	174.954	27	130.944	401.653	27	256.983	6.64	430	491.319	57.428	1472
435.265	44.153	28	27.72	173.581	28	131.123	401.583	28	256.912	6.542	431	491.309	58.433	1473
433.732	43.158	29	28.153	174.03	29	131.045	401.176	29	257.197	4.879	432	491.25	58.152	1474
433.438	40.683	30	27.885	174.066	30	131.586	401.042	30	257.862	6.707	433	491.223	59.041	1476
433.551	38.509	31	28.011	174.1	31	129.841	401.323	31	257.03	9.158	434	491.242	59.089	1477
434.802	39.039	32	28.283	173.849	32	128.627	403.251	32	256.635	10.188	435	491.232	58.522	1478
435.434	39.772	33	28.043	172.978	33	129.074	403.242	33	255.47	9.379	436	491.157	59.004	1479
