Frame	x	y
3616	336.572	1.103
3617	335.585	1.827
3618	335.774	2.753
3619	336.088	3.075
3620	336.253	4.215
3621	335.476	3.453
3622	335.866	4.254
3623	336.557	4.847
3624	336.229	4.356
3625	336.365	4.345
3626	336.67	4.381
3627	336.739	4.187
3628	337.322	4.246
3629	336.822	4.169
3630	336.842	4.384
3631	337.248	4.093
3632	337.758	3.316
3633	337.575	4.416
3634	338.039	4.676
3635	337.646	4.039
3636	337.882	3.154
3637	338.089	3.644
3638	338.535	3.713
3639	339.571	3.524
3640	340.022	3.58
3641	339.829	2.893
3642	339.788	3.123
3643	337.862	3.614
3644	337.819	4.367
3645	336.453	4.135
3646	335.885	4.752
3647	336.16	5.625
3648	335.286	6.028
3649	335.207	6.564
3650	334.631	7.006
3651	333.566	7.029
3652	333.2	6.65
3653	333.184	6.534
3654	332.546	6.277
3655	332.311	6.462
3656	331.96	6.691
3657	332.286	6.705
3658	331.994	6.597
3659	331.996	6.469
3660	332.418	6.29
3661	333.897	5.306
3662	334.231	5.505
3663	333.575	5.773
3664	334.154	7.14
3665	335.006	8.292
3666	334.958	8.238
3667	335.064	8.199
3668	335.016	8.837
3669	335.332	8.847
3670	334.957	8.637
3671	335.207	8.927
3672	335.298	8.811
3673	335.073	8.293
3674	334.863	8.387
3675	335.103	8.494
3676	335.239	8.772
3677	335.336	8.85
3678	334.782	8.308
3679	334.389	7.296
3680	335.139	8.255
3681	335.637	8.684
3682	335.022	8.234
3683	335.054	8.522
3684	335.217	9.056
3685	334.828	7.946
3686	334.855	7.872
3687	334.249	7.823
3688	334.651	8.19
3689	333.496	7.807
3690	332.863	7.449
3691	332.28	7.34
3692	332.526	6.321
3693	332.75	6.827
3694	334.001	6.893
3695	333.473	7.42
3696	332.704	7.08
3697	333.274	6.887
3698	332.872	6.118
3699	333.188	5.83
3700	333.94	6.527
3701	333.46	7.55
3702	333.678	7.746
3703	333.642	7.687
3704	333.499	7.765
3705	334.215	8.594
3706	334.225	8.969
3707	333.743	8.695
3708	333.882	8.095
3709	334.062	8.313
3710	334.396	7.953
3711	332.842	7.167
3712	331.904	2.029
3713	331.904	2.029
3714	331.904	2.029
3715	331.904	2.029
3716	331.904	2.029
3717	331.904	2.029
3718	331.904	2.029
3719	331.904	2.029
3720	331.904	2.029
3721	331.904	2.029
3722	332.266	2.008
3723	332.29	2.518
3724	332.608	3.274
3725	332.355	2.498
3726	331.565	2.385
3727	331.358	3.078
3728	331.576	2.269
3729	331.52	1.29
3730	331.573	1.265
3731	331.83	1.453
3732	331.667	1.533
3733	331.612	1.544
3734	331.312	1.458
3735	332.455	1.288
3736	333.222	1.123
3737	331.392	1.808
3738	331.476	2.502
3739	330.626	3.762
3740	329.618	4.828
3741	329.131	4.757
3742	329.574	4.965
3743	330.613	4.92
3744	331.055	4.452
3745	331.714	6.063
3746	331.839	7.152
3747	331.976	6.135
3748	332.826	6.241
3749	332.791	7.049
3750	333.233	7.273
3751	333.726	7.205
3752	333.976	7.45
3753	332.861	7.426
3754	332.831	6.945
3755	334.137	6.726
3756	334.414	7.307
3757	333.949	7.632
3758	333.752	7.834
3759	332.95	7.706
3760	331.404	7.724
3761	331.003	7.407
3762	330.644	7.022
3763	331.204	7.352
3764	331.381	7.056
3765	331.66	8.468
3766	331.539	8.432
3767	331.305	7.277
3768	331.565	6.975
3769	331.565	7.148
3770	331.293	6.537
3771	331.155	6.768
3772	331.561	7.078
3773	331.72	7.275
3774	331.369	8.044
3775	331.971	7.493
3776	331.607	7.501
3777	330.791	7.993
3778	331.272	7.329
3779	331.391	7.636
3780	332.206	7.33
3781	332.756	7.159
3782	333.303	7.163
3783	333.604	7.854
3784	334.062	7.468
3785	333.091	7.862
3786	332.642	7.725
3787	331.885	6.841
3788	331.147	7.213
3789	331.274	6.769
3790	331.212	7.46
3791	331.361	7.414
3792	331.218	7.583
3793	331.707	9.081
3794	332.22	9.453
3795	332.126	9.587
3796	331.773	9.684
3797	331.332	8.729
3798	331.744	9.655
3799	330.822	10.617
3800	330.854	10.677
3801	330.948	10.485
3802	330.36	10.269
3803	331.107	10.453
3804	331.147	10.458
3805	330.493	10.443
3806	330.488	10.431
3807	330.973	10.285
3808	330.235	10.049
3809	329.904	10.125
3810	330.321	10.42
3811	331.221	10.213
3812	331.21	10.72
3813	330.146	10.266
3814	329.789	10.461
3815	329.583	10.597
3816	329.66	10.801
3817	329.767	10.473
3818	329.622	10.415
3819	329.403	10.653
3820	329.757	10.566
3821	329.672	10.704
3822	329.682	10.737
3823	329.707	10.212
3824	331.066	10.378
3825	331.07	10.427
3826	331.053	10.345
3827	331.182	10.468
3828	331.458	10.453
3829	331.294	10.317
3830	330.881	10.114
3831	331.051	10.854
3832	331.279	10.038
3833	330.159	10.594
3834	329.66	10.766
3835	329.977	10.415
3836	329.768	10.48
3837	329.939	10.508
3838	329.761	10.569
3839	329.768	10.768
3840	329.783	10.87
3841	329.776	10.836
3842	330.331	10.492
3843	330.792	10.988
3844	329.867	10.793
3845	330.552	10.512
3846	330.816	10.236
3847	331.082	10.625
3848	330.718	10.301
3849	330.598	10.62
3850	330.866	10.346
3851	330.879	10.505
3852	331.127	10.3
3853	330.81	10.635
3854	330.105	10.503
3855	330.265	10.484
3856	330.882	10.243
3857	331.141	10.625
3858	330.877	10.899
3859	331.075	11.117
3860	330.486	10.387
3861	330.847	10.936
3862	330.598	10.637
3863	329.87	11.148
3864	329.678	11.022
3865	330.068	10.59
3866	329.787	10.874
3867	329.991	10.512
3868	330.129	10.486
3869	330.971	10.384
3870	330.715	10.664
3871	330.98	10.545
3872	330.608	10.313
3873	331.118	10.58
3874	330.941	10.857
3875	330.549	10.711
3876	330.232	10.865
3877	330.813	10.013
3878	329.951	10.757
3879	329.876	11.181
3880	330.449	10.414
3881	330.162	10.535
3882	329.732	11.191
3883	330.035	10.903
3884	330.162	10.688
3885	330.557	10.958
3886	330.149	10.491
3887	331.102	10.684
3888	330.687	10.709
3889	330.097	10.876
3890	330.894	10.7
3891	331.136	10.723
3892	330.923	10.384
3893	331.012	10.561
3894	330.076	10.492
3895	330.155	10.817
3896	329.96	10.826
3897	330.135	11.179
3898	329.847	11.098
3899	330.005	10.91
3900	329.899	10.899
3901	330.792	10.516
3902	330.022	10.492
3903	329.732	10.877
3904	329.875	11.592
3905	329.823	12.856
3906	329.505	12.283
3907	328.474	12.712
3908	328.242	12.656
3909	327.86	12.632
3910	327.98	12.799
3911	328.09	13.035
3912	328.217	12.605
3913	328.629	11.223
3914	328.782	11.375
3915	329.762	13.422
3916	329.674	13.947
3917	329.139	14.516
3918	328.437	15.206
3919	328.891	15.122
3920	329.465	15.478
3921	329.702	15.681
3922	329.711	15.447
3923	329.741	15.311
3924	329.714	15.203
3925	329.885	15.281
3926	329.983	15.036
3927	329.605	15.389
3928	329.527	14.895
3929	330.265	13.858
3930	330.722	13.134
3931	330.498	13.088
3932	329.37	13.323
3933	328.661	13.082
3934	330.629	14.7
3935	330.629	14.7
3936	330.629	14.7
3937	330.629	14.7
3938	330.629	14.7
3939	330.629	14.7
3940	330.629	14.7
3941	330.629	14.7
3942	330.629	14.7
3943	330.629	14.7
3944	331.331	14.184
3945	331.642	14.451
3946	332.447	13.926
3947	332.306	14.51
3948	331.212	14.446
3949	329.74	15.071
3950	329.512	14.497
3951	329.49	14.288
3952	329.418	14.492
3953	329.186	15.105
3954	329.553	15.196
3955	329.749	15.796
3956	329.493	16.028
3957	330.958	14.361
3958	331.56	14.273
3959	332.693	14.459
3960	334.355	14.816
3961	334.775	14.977
3962	334.588	14.771
3963	334.498	14.938
3964	334.237	14.659
3965	334.475	14.603
3966	334.626	14.791
3967	334.552	14.749
3968	334.711	14.807
3969	335.03	14.689
3970	334.922	14.791
3971	335.079	14.765
3972	334.793	15.086
3973	334.172	15.439
3974	334.173	15.354
3975	333.739	16.275
3976	334.282	16.465
3977	333.98	15.891
3978	333.742	16.463
3979	334.398	16.567
3980	335.591	16.74
3981	336.014	17.232
3982	336.999	17.125
3983	337.692	16.9
3984	337.583	17.391
3985	337.574	18.819
3986	337.336	19.19
3987	336.962	19.503
3988	336.364	20.572
3989	335.965	21.284
3990	335.35	21.541
3991	335.112	20.709
3992	335.295	20.224
3993	334.866	20.143
3994	334.951	21.102
3995	335.098	20.331
3996	334.32	20.63
3997	334.553	20.524
3998	334.722	20.373
3999	334.75	20.271
4000	334.533	20.461
4001	334.19	21.405
4002	334.128	22.165
4003	334.141	23.061
4004	334.385	23.572
4005	334.082	23.335
4006	333.796	23.25
4007	332.569	23.297
4008	332.335	23.006
4009	333.214	22.786
4010	334.554	23.037
4011	334.972	23.294
4012	333.821	23.275
4013	335.023	24.641
4014	335.28	25.132
4015	335.32	25.503
4016	336.143	25.618
4017	336.351	25.339
4018	335.469	25.343
4019	336.28	24.753
4020	337.536	23.674
4021	337.357	23.732
4022	338.405	21.924
4023	338.508	22.099
4024	337.627	23.253
4025	337.698	23.685
4026	338.335	22.831
4027	338.003	22.905
4028	337.795	23.296
4029	338.153	23.971
4030	338.726	23.902
4031	338.689	23.61
4032	337.673	23.228
4033	336.652	23.878
4034	336.665	24.065
4035	337.104	23.933
4036	336.654	23.523
4037	337.242	22.642
4038	338.011	21.498
4039	338.114	21.74
4040	338.2	22.614
4041	338.419	22.779
4042	337.859	22.808
4043	337.468	23.752
4044	337.146	24.01
4045	336.414	24.097
4046	336.646	24.289
4047	336.909	23.852
4048	336.824	24.184
4049	338.2	25.075
4050	337.805	26.623
4051	336.623	27.127
4052	336.917	25.88
4053	336.378	25.943
4054	336.712	25.893
4055	336.564	26.372
4056	336.96	26.494
4057	337.855	26.787
4058	337.12	26.746
4059	337.468	26.289
4060	337.214	24.831
4061	337.187	23.922
4062	337.755	23.491
4063	338.637	23.195
4064	338.673	23.792
4065	337.211	23.499
4066	337.36	23.982
4067	337.32	22.438
4068	337.811	22.731
4069	337.528	24.32
4070	337.253	24.294
4071	336.452	24.7
4072	335.582	25.306
4073	335.194	25.318
4074	335.222	25.36
4075	335.209	25.112
4076	334.956	25.352
4077	335.151	25.388
4078	335.516	25.766
4079	336.343	26.46
4080	335.587	25.633
4081	334.939	25.72
4082	333.745	25.448
4083	332.606	25.674
4084	332.829	25.358
4085	333.37	25.388
4086	334.462	25.538
4087	333.942	25.516
4088	333.549	25.437
4089	332.837	25.207
4090	332.742	25.261
4091	333.052	25.291
4092	332.767	25.42
4093	333.013	25.072
4094	332.823	24.489
4095	332.764	24.614
4096	333.842	25.271
4097	334.697	25.204
4098	335.725	25.404
4099	334.926	25.206
4100	334.409	25.283
4101	333.755	25.833
4102	333.094	26.923
4103	332.665	28.315
4104	332.647	29.114
4105	332.331	29.584
4106	331.247	29.572
4107	329.802	30.436
4108	330.253	30.534
4109	329.327	31.147
4110	329.113	31.106
4111	328.814	31.108
4112	328.65	31.8
4113	328.753	31.961
4114	328.901	33.369
4115	329.537	33.625
4116	330.461	32.301
4117	330.538	32.801
4118	329.978	34.266
4119	330.217	35.608
4120	330.472	35.79
4121	330.552	35.751
4122	329.834	36.055
4123	329.067	35.239
4124	327.727	33.341
4125	327.094	33.38
4126	326.248	35.081
4127	325.764	35.229
4128	326.27	34.911
4129	327.784	35.171
4130	329.279	35.569
4131	329.762	36.056
4132	329.968	36.429
4133	331.087	35.686
4134	331.515	36.327
4135	331.298	36.877
4136	331.404	35.921
4137	331.691	36.057
4138	331.27	36.799
4139	330.949	38.474
4140	330.664	38.817
4141	330.36	39.102
4142	329.39	38.676
4143	329.881	37.762
4144	329.637	36.246
4145	328.188	35.648
4146	328.133	35.198
4147	326.886	35.012
4148	326.313	34.68
4149	326.256	34.732
4150	326.344	34.269
4151	325.71	33.614
4152	325.162	33.021
4153	325.287	33.221
4154	324.572	34.166
4155	325.03	33.635
4156	325.167	33.925
4157	321.673	36.344
4158	321.673	36.344
4159	321.673	36.344
4160	321.876	35.892
4161	321.876	35.892
4162	321.876	35.892
4163	321.876	35.892
4164	321.876	35.892
4165	321.876	35.892
4166	321.876	35.892
4167	321.876	35.892
4168	321.189	36.934
4169	321.643	37.109
4170	321.639	36.528
4171	322.185	35.787
4172	321.99	35.886
4173	322.695	35.615
4174	322.592	35.468
4175	324.181	35.714
4176	326.365	35.286
4177	326.727	35.593
4178	326.566	35.921
4179	327.213	35.376
4180	327.648	34.985
4181	328.121	34.901
4182	328.445	34.844
4183	327.883	33.674
4184	328.703	34.111
4185	327.224	34.688
4186	327.682	34.203
4187	327.752	33.643
4188	327.552	32.69
4189	327.792	32.605
4190	328.222	32.334
4191	328.85	32.761
4192	327.963	32.694
4193	328.391	33.011
4194	329.422	33.492
4195	329.205	31.563
4196	328.534	31.031
4197	327.177	32.076
4198	326.42	30.791
4199	326.009	30.039
4200	325.803	31.164
4201	325.661	32.075
4202	325.389	31.57
4203	325.538	32.432
4204	325.567	32.435
4205	325.865	33.753
4206	325.888	33.584
4207	326.591	33.541
4208	326.699	34.545
4209	326.689	34.284
4210	326.752	35.547
4211	327.001	35.788
4212	325.8	35.271
4213	325.288	34.391
4214	324.699	35.549
4215	324.902	36.147
4216	325.288	35.896
4217	323.513	38.835
4218	323.07	39.754
4219	322.939	38.502
4220	323.672	37.22
4221	323.635	36.559
4222	323.815	36.19
4223	324.125	36.275
4224	324.062	35.642
4225	323.5	36.587
4226	324.76	36.29
4227	325.524	36.17
4228	325.875	36.466
4229	326.368	36.553
4230	325.867	36.508
4231	325.54	36.125
4232	325.264	35.792
4233	324.212	35.722
4234	323.857	36.902
4235	322.875	38.182
4236	322.819	39
4237	323.738	38.859
4238	324.129	38.313
4239	323.759	38.304
4240	323.594	38.914
4241	322.846	39.219
4242	323.99	37.712
4243	324.709	38.609
4244	325.748	39.298
4245	326.314	40.227
4246	326.229	39.589
4247	326.349	39.715
4248	326.35	39.487
4249	325.834	38.799
4250	325.585	39.072
4251	324.166	38.175
4252	323.802	37.92
4253	324.6	37.422
4254	324.222	37.46
4255	322.985	38.843
4256	323.19	40.009
4257	322.438	41.525
4258	321.963	42.267
4259	321.715	42.898
4260	321.418	42.169
4261	321.19	41.263
4262	320.671	41.433
4263	321.236	42.255
4264	321.264	43.138
4265	321.705	43.268
4266	321.697	43.463
4267	321.238	41.719
4268	322.385	40.699
4269	323.523	41.403
4270	323.255	41.188
4271	322.562	40.907
4272	322.148	41.694
4273	321.863	41.353
4274	321.842	41.201
4275	321.798	40.987
4276	321.757	40.295
4277	322.054	39.912
4278	322.201	39.343
4279	322.502	38.545
4280	323.036	39.78
4281	321.848	40.86
4282	319.718	41.341
4283	319.357	40.203
4284	318.49	39.205
4285	318.06	38.257
4286	318.99	37.962
4287	318.788	39.939
4288	319.18	40.123
4289	318.789	40.412
4290	318.578	40.537
4291	317.896	41.364
4292	318.948	42.757
4293	318.677	42.797
4294	318.384	43.026
4295	318.371	43.506
4296	316.64	45.051
4297	315.706	46.024
4298	315.629	46.154
4299	316.187	45.842
4300	317.377	44.167
4301	317.484	42.652
4302	317.451	42.33
4303	317.306	42.877
4304	317.398	42.434
4305	317.406	43.231
4306	317.635	44.362
4307	317.115	43.289
4308	317.372	44.055
4309	317.57	43.346
4310	317.867	43.207
4311	317.607	43.919
4312	318.528	43.087
4313	318.519	42.666
4314	318.735	42.91
4315	317.697	43.554
4316	318.338	42.667
4317	318.671	42.677
4318	318.204	43.222
4319	317.678	42.877
4320	317.7	41.799
4321	316.863	42.075
4322	316.281	41.492
4323	316.737	41.19
4324	317.088	41.194
4325	316.266	42.717
4326	315.696	42.926
4327	316.138	40.932
4328	316.515	42.361
4329	315.908	42.592
4330	315.698	42.517
4331	316.073	41.912
4332	316.295	41.716
4333	316.324	41.627
4334	316.379	41.832
4335	316.517	42.024
4336	316.134	41.883
4337	316.59	41.897
4338	316.012	42.246
4339	315.14	41.112
4340	314.887	40.205
4341	314.61	39.852
4342	314.691	40.151
4343	314.876	40.473
4344	314.841	41.131
4345	315.531	41.215
4346	316.185	41.564
4347	317.294	41.002
4348	316.808	40.125
4349	316.097	40.789
4350	316.491	40.706
4351	317.117	40.918
4352	317.306	41.708
4353	317.715	42.749
4354	316.968	42.782
4355	316.362	42.309
4356	316.173	42.443
4357	315.706	43.65
4358	315.448	44.072
4359	316.374	44.342
4360	316.678	45.042
4361	316.885	45.578
4362	317.166	45.893
4363	317.52	46.478
4364	317.634	49.428
4365	316.766	49.964
4366	316.687	50.644
4367	316.943	50.651
4368	316.204	50.822
4369	315.191	51.825
4370	314.715	51.401
4371	314.203	50.473
4372	314.052	49.385
4373	314.703	49.029
4374	315.533	50.01
4375	314.941	50.667
4376	313.743	49.937
4377	312.797	49.786
4378	314.695	52.362
4379	314.695	52.362
4380	314.695	52.362
4381	314.695	52.362
4382	314.695	52.362
4383	314.695	52.362
4384	314.695	52.362
4385	314.695	52.362
4386	314.695	52.362
4387	314.695	52.362
4388	313.248	52.37
4389	313.2	53.558
4390	313.299	52.903
4391	313.774	52.122
4392	312.895	52.374
4393	312.492	52.979
4394	312.41	52.906
4395	313.432	53.397
4396	313.455	55.189
