Frame,x,y
0,70.742,25.459
1,70.294,25.183
2,69.61,24.558
3,69.887,24.53
4,69.672,24.517
5,69.759,25.093
6,70.211,24.814
7,69.768,23.891
8,69.532,23.715
9,69.579,23.693
10,69.469,23.886
11,69.298,23.734
12,69.142,23.932
13,68.719,22.796
14,68.901,23.382
15,68.803,23.921
16,68.324,25.033
17,68.086,24.766
18,67.336,24.32
19,66.39,23.793
20,66.787,24.452
21,67.362,24.675
22,67.353,24.778
23,67.324,24.945
24,66.863,26.265
25,67.32,25.763
26,66.934,25.451
27,67.405,26.373
28,67.613,26.698
29,68.142,26.488
30,68.468,26.25
31,68.871,25.853
32,69.479,26.073
33,69.862,26.928
34,70.085,27.496
35,70.543,27.657
36,70.861,27.923
37,70.841,28.085
38,70.381,27.782
39,70.113,27.511
40,69.558,27.545
41,70.119,27.581
42,70.41,27.379
43,70.56,27.749
44,70.542,27.526
45,70.874,27.811
46,71.308,27.936
47,71.418,27.895
48,72.393,27.762
49,72.636,28.094
50,72.343,28.053
51,73.105,27.412
52,73.718,27.486
53,74.687,28.246
54,74.532,28.357
55,74.585,28.089
56,74.237,27.725
57,73.232,28.439
58,73.238,28.164
59,74.218,27.728
60,73.859,28.148
61,73.29,28.522
62,73.315,28.378
63,73.367,28.233
64,74.057,28.178
65,74.568,27.821
66,74.714,27.35
67,75.131,27.826
68,75.124,28.513
69,74.588,29.49
70,73.853,30.134
71,74.169,29.949
72,74.213,30.129
73,74.486,30.1
74,74.126,30.236
75,73.464,29.41
76,73.833,29.635
77,75.155,30.339
78,75.134,30.92
79,75.218,31.149
80,75.123,30.71
81,74.285,30.194
82,73.73,29.848
83,73.698,30.304
84,73.457,30.385
85,72.478,29.954
86,72.185,29.338
87,71.606,28.308
88,71.742,28.179
89,72.353,27.813
90,72.169,28.599
91,72.165,28.715
92,71.602,28.376
93,72.307,28.073
94,72.487,28.581
95,73.026,28.545
96,72.333,28.108
97,72.372,27.682
98,71.932,28.114
99,71.806,27.926
100,71.854,28.061
101,72.378,27.564
102,72.392,27.822
103,72.236,28.088
104,71.735,28.163
105,72.349,27.889
106,73.096,28.173
107,73.787,28.322
108,73.296,28.401
109,73.251,28.375
110,73.038,28.383
111,72.949,28.584
112,73.295,28.506
113,73.253,29.342
114,73.174,29.653
115,73.588,30.475
116,73.232,30.613
117,72.861,31.196
118,72.718,30.814
119,72.698,30.658
120,72.293,31.423
121,72.461,32.234
122,72.118,31.673
123,71.76,32.041
124,71.305,32.096
125,71.521,32.332
126,71.487,32.083
127,70.622,31.416
128,70.899,30.915
129,71.158,30.657
130,71.34,30.634
131,70.73,30.73
132,70.665,31.272
133,70.706,31.432
134,70.885,31.374
135,71.212,30.977
136,70.558,31.619
137,70.157,31.624
138,70.6,31.575
139,70.452,31.557
140,70.651,31.814
141,70.636,31.95
142,70.322,31.833
143,69.903,32.067
144,70.349,31.459
145,69.491,31.57
146,69.802,31.342
147,69.763,32.062
148,70.1,31.805
149,70.388,31.878
150,70.43,31.947
151,70.623,32.4
152,70.776,33.036
153,70.86,33.119
154,70.402,33.449
