Trajectory	Frame	x	y	z
1	0	24.457	18.323	0
1	1	24.858	18.464	0
1	2	24.409	18.495	0
1	3	24.338	18.584	0
1	4	24.822	18.529	0
1	5	25.35	18.284	0
1	6	25.015	18.107	0
1	7	24.518	17.884	0
1	8	24.533	17.923	0
1	9	24.595	17.702	0
1	10	24.485	17.512	0
1	11	25.141	18.047	0
1	12	25.647	17.866	0
1	13	25.957	17.906	0
1	14	25.919	17.59	0
1	15	25.642	17.716	0
1	16	25.453	18.362	0
1	17	25.351	18.188	0
1	18	25.101	18.54	0
1	19	24.374	18.337	0
1	20	24.653	18.505	0
1	21	25.302	18.418	0
1	22	25.9	18.275	0
1	23	25.913	18.28	0
1	24	25.527	18.374	0
1	25	25.572	18.565	0
1	26	25.716	18.324	0
1	27	25.497	18.332	0
1	28	25.208	18.248	0
1	29	25.27	18.453	0
1	30	25.058	18.247	0
1	31	24.817	17.971	0
1	32	24.531	17.768	0
1	33	25.193	18.413	0
1	34	25.138	18.191	0
1	35	24.905	17.987	0
1	36	24.811	18.145	0
1	37	24.786	18.171	0
1	38	24.517	17.621	0
1	39	24.421	17.59	0
1	40	24.242	17.52	0
1	41	24.411	17.79	0
1	42	24.784	16.925	0
1	43	25.009	16.455	0
1	44	25.375	16.494	0
1	45	25.213	16.143	0
1	46	25.167	16.211	0
1	47	25.153	16.096	0
1	48	25.178	16.041	0
1	49	24.922	16.648	0
1	50	25.355	16.636	0
1	51	26.154	17.233	0
1	52	26.285	17.299	0
1	53	25.806	17.278	0
1	54	26.306	17.637	0
1	55	26.776	17.521	0
1	56	26.742	17.409	0
1	57	26.835	17.457	0
1	58	26.857	17.693	0
1	59	26.948	17.386	0
1	60	26.838	17.766	0
1	61	26.631	17.7	0
1	62	26.737	17.599	0
1	63	26.754	17.565	0
1	64	27.209	17.807	0
1	65	26.942	18.202	0
1	66	26.909	17.997	0
1	67	26.628	17.541	0
1	68	26.863	17.434	0
1	69	26.87	17.449	0
1	70	26.598	17.343	0
1	71	26.927	16.743	0
1	72	26.689	16.418	0
1	73	26.512	16.938	0
1	74	27.048	17.428	0
1	75	27.011	17.68	0
1	76	26.905	17.26	0
1	77	27.142	16.766	0
1	78	26.81	17.13	0
1	79	27.114	17.136	0
1	80	27.421	16.897	0
1	81	26.925	17.264	0
1	82	26.767	17.648	0
1	83	27.032	17.186	0
1	84	27.059	17.046	0
1	85	26.729	16.205	0
1	86	27.328	16.225	0
1	87	27.823	15.797	0
1	88	27.56	15.692	0
1	89	27.321	15.831	0
1	90	26.53	16.268	0
1	91	26.539	16.404	0
1	92	26.816	16.23	0
1	93	27.078	16.655	0
1	94	27.056	17.271	0
1	95	26.752	17.313	0
1	96	26.232	17.501	0
1	97	26.553	17.601	0
1	98	26.614	17.529	0
1	99	26.325	17.725	0
1	100	26.188	17.784	0
1	101	26.077	17.807	0
1	102	25.819	18.147	0
1	103	25.569	17.92	0
1	104	25.736	18.114	0
1	105	25.577	18.474	0
1	106	26.318	18.502	0
1	107	26.255	18.403	0
1	108	26.445	19.254	0
1	109	26.467	18.838	0
1	110	26.363	18.798	0
1	111	26.516	18.524	0
1	112	26.296	19.237	0
1	113	26.497	19.348	0
1	114	26.255	19.676	0
1	115	26.409	19.096	0
1	116	26.481	19.055	0
